Asabu                 ,43.10883076947425  ,141.33829841202027 ,green  , 1
Kita-Sanjūyo-Jō       ,43.10027210590917  ,141.34211495602028 ,green  , 2
Kita-Nijūyo-Jō        ,43.09018081257045  ,141.34466993486998 ,green  , 3
Kita-Jūhachi-Jō       ,43.08163440358692  ,141.34687198492117 ,green  , 4
Kita-Jūni-Jō          ,43.0748724624277   ,141.3484938833775  ,green  , 5
Sapporo               ,43.06820308179707  ,141.35118439355435 ,green  , 6 ,blue   ,7
Ōdōri                 ,43.06053668983964  ,141.3537210308782  ,green  , 7 ,orange ,9 ,blue ,8
Susukino              ,43.05565355097324  ,141.3533337618525  ,green  , 8
Nakajima-Kōen         ,43.04905089286774  ,141.35498264986774 ,green  , 9
Horohira-Bashi        ,43.04063637865132  ,141.35581288133014 ,green  ,10
Nakanoshima           ,43.03790553447827  ,141.36096446311402 ,green  ,11
Hiragishi             ,43.0347317482042   ,141.36836180859066 ,green  ,12
Minami-Hiragishi      ,43.0269987258195   ,141.37148562679994 ,green  ,13
Sumikawa              ,43.01703284748405  ,141.36734354767285 ,green  ,14
Jieitai-Mae           ,43.006264500969365 ,141.36474023890068 ,green  ,15
Makomanai             ,42.99164302762335  ,141.35837405798975 ,green  ,16
Miyanosawa            ,43.090223159912    ,141.27762116600726 ,orange , 1
Hassamu-Minami        ,43.08186764725127  ,141.29110522040168 ,orange , 2
Kotoni                ,43.076256852707196 ,141.30426231421603 ,orange , 3
Nijūyon-Ken           ,43.07097421205781  ,141.3137826297037  ,orange , 4
Nishi-Nijūhatchōme    ,43.061690511574014 ,141.31455910421653 ,orange , 5
Maruyama-Kōen         ,43.05643589239649  ,141.31970761036115 ,orange , 6
Nishi-Jūhatchōme      ,43.05764212084698  ,141.33046692673722 ,orange , 7
Nishi-Jūitchōme       ,43.05919471755779  ,141.34137660305225 ,orange , 8
Bus Center-Mae        ,43.06203723934773  ,141.36056316354566 ,orange ,10
Kikusui               ,43.057858793320655 ,141.37344609391442 ,orange ,11
Higashi-Sapporo       ,43.05258655656111  ,141.38450964815723 ,orange ,12
Shiroishi             ,43.04715685715909  ,141.39562753991504 ,orange ,13
Nangō-Nanachōme       ,43.04121462524698  ,141.41097197198536 ,orange ,14
Nangō-Jūsanchōme      ,43.03640965104365  ,141.42267787870136 ,orange ,15
Nangō-Jūhatchōme      ,43.03127974024707  ,141.43758869687895 ,orange ,16
Ōyachi                ,43.028621986785915 ,141.45346274815932 ,orange ,17
Hibarigaoka           ,43.03334748536947  ,141.46543760432274 ,orange ,18
Shin-Sapporo          ,43.04163920977893  ,141.4748217326405  ,orange ,19
Sakaemachi            ,43.11425251838656  ,141.3673925825466  ,blue   , 1
Shindō-Higashi        ,43.105716013304374 ,141.3693612507645  ,blue   , 2
Motomachi             ,43.095407471491036 ,141.37178528515074 ,blue   , 3
Kanjō-Dōri-Higashi    ,43.082827216899084 ,141.37485178869693 ,blue   , 4
Higashi-Kuyakusho-Mae ,43.07876524606888  ,141.36571478845477 ,blue   , 5
Kita-Jūsan-Jō-Higashi ,43.07720244980291  ,141.35471720930627 ,blue   , 6
Hōsui-Susukino        ,43.055254492720316 ,141.35679926484192 ,blue   , 9
Gakuen-Mae            ,43.04784625180236  ,141.36909404191178 ,blue   ,10
Toyohira-Kōen         ,43.042351841441025 ,141.37632607543455 ,blue   ,11
Misono                ,43.03668362344717  ,141.3854518041571  ,blue   ,12
Tsukisamu-Chūō        ,43.03113346670803  ,141.39607161278758 ,blue   ,13
Fukuzumi              ,43.0220856204121   ,141.40325965956336 ,blue   ,14